CuentaId,BancoId,ClienteNombre,SaldoUSD
10125,7,Carlos Mamani,45295.94
10126,7,Fernando Silva,7060.86
10127,7,Diego Morales,28436.08
10128,7,Gabriel Mendoza,7081.27
10129,7,Carlos Mamani,10383.01
10130,7,Maria Rodriguez,13790.45
10131,7,Ana Quispe,32096.44
10132,7,Elena Gutierres,38859.51
10133,7,Hugo Torrez,30579.11
10134,7,Diego Morales,29208.51
10135,7,Camila Fernandez,15443.57
10136,7,Luis Flores,19172.84
10137,7,Ana Quispe,15788.08
10138,7,Sofia Vargas,31208.07
10139,7,Ana Quispe,41150.51
10140,7,Lucia Guzman,35128.42
10141,8,Ana Quispe,19456.78
10142,8,Mateo Cabrera,15555.02
10143,8,Juan Pérez,44881.33
10144,8,Mateo Cabrera,6566.46
10145,8,Maria Rodriguez,18908.4
10146,8,Juan Pérez,33087.38
10147,8,Camila Fernandez,3301.5
10148,8,Hugo Torrez,17571.23
10149,8,Hugo Torrez,20715.6
10150,8,Fernando Silva,35500.54
10151,8,Diego Morales,21321.66
10152,8,Juan Pérez,5104.48
10153,8,Sofia Vargas,42843.81
10154,8,Hugo Torrez,34707.68
10155,8,Sofia Vargas,10853.29
10156,8,Juan Pérez,25055.41
10157,8,Lucia Guzman,6260.38
10158,8,Mateo Cabrera,21126.18
10159,8,Sofia Vargas,47869.96
10160,8,Gabriel Mendoza,26078.63
10161,9,Camila Fernandez,28999.66
10162,9,Fernando Silva,43427.18
10163,9,Diego Morales,47785.92
10164,9,Fernando Silva,48758.53
10165,9,Gabriel Mendoza,13774.87
10166,9,Juan Pérez,34565.95
10167,9,Maria Rodriguez,37481.58
10168,9,Camila Fernandez,36638.72
10169,9,Diego Morales,36177.55
10170,9,Maria Rodriguez,47845.24
10171,9,Gabriel Mendoza,40959.18
10172,9,Hugo Torrez,10426.54
10173,9,Lucia Guzman,13414.49
10174,9,Ana Quispe,46774.4
10175,9,Ana Quispe,12984.07
10176,9,Elena Gutierres,37718.51
10177,9,Lucia Guzman,28759.55
10178,9,Hugo Torrez,39573.03
10179,9,Carlos Mamani,35714.8
10180,9,Juan Pérez,35694.79
10181,10,Valeria Choque,13373.06
10182,10,Lucia Guzman,46371.32
10183,10,Diego Morales,23919.96
10184,10,Camila Fernandez,23130.94
10185,10,Carlos Mamani,9075.64
10186,10,Camila Fernandez,34856.47
10187,10,Valeria Choque,33303.02
10188,10,Ana Quispe,5450.35
10189,10,Diego Morales,35478.66
10190,10,Camila Fernandez,7892.37
10191,10,Camila Fernandez,32047.75
10192,10,Ana Quispe,35455.76
10193,10,Fernando Silva,49794.89
10194,10,Elena Gutierres,33983.37
10195,10,Gabriel Mendoza,33181.74
10196,10,Camila Fernandez,35432.09
10197,10,Juan Pérez,17529.48
10198,10,Hugo Torrez,17883.11
10199,10,Lucia Guzman,7273.16
10200,10,Fernando Silva,47064.72
10201,11,Ana Quispe,30492.91
10202,11,Lucia Guzman,10927.87
10203,11,Gabriel Mendoza,29958.4
10204,11,Hugo Torrez,23714.25
10205,11,Diego Morales,36252.73
10206,11,Valeria Choque,2758.1
10207,11,Elena Gutierres,25272.43
10208,11,Carlos Mamani,18015.93
10209,11,Mateo Cabrera,47886.82
10210,11,Ana Quispe,17860.63
10211,11,Valeria Choque,40358.8
10212,11,Gabriel Mendoza,21817.48
10213,11,Juan Pérez,4504.44
10214,11,Fernando Silva,14060.73
10215,11,Maria Rodriguez,20768.46
10216,11,Fernando Silva,19987.21
10217,11,Maria Rodriguez,30142.45
10218,11,Juan Pérez,24786.4
10219,11,Luis Flores,19197.86
10220,11,Ana Quispe,36399.28
10221,12,Carlos Mamani,21553.6
10222,12,Valeria Choque,12966.12
10223,12,Gabriel Mendoza,13089.77
10224,12,Fernando Silva,7762.66
10225,12,Diego Morales,24202.91
10226,12,Sofia Vargas,22291.75
10227,12,Ana Quispe,30794.29
10228,12,Diego Morales,13614.3
10229,12,Luis Flores,21336.5
10230,12,Elena Gutierres,33205.08
10231,12,Luis Flores,23033.04
10232,12,Lucia Guzman,41838.96
10233,12,Luis Flores,29914.21
10234,12,Fernando Silva,5644.59
10235,12,Luis Flores,20654.35
10236,12,Valeria Choque,36494.65
10237,12,Valeria Choque,37062.9
10238,12,Valeria Choque,35838.68
10239,12,Mateo Cabrera,9943.58
10240,12,Maria Rodriguez,1888.8
10241,13,Hugo Torrez,10149.62
10242,13,Maria Rodriguez,22772.81
10243,13,Juan Pérez,33054.73
10244,13,Camila Fernandez,8445.42
10245,13,Camila Fernandez,49922.0
10246,13,Juan Pérez,43938.76
10247,13,Camila Fernandez,38294.63
10248,13,Mateo Cabrera,43543.85
10249,13,Valeria Choque,35395.34
10250,13,Fernando Silva,15918.48
10251,13,Carlos Mamani,31128.13
10252,13,Juan Pérez,31996.03
10253,13,Juan Pérez,34949.7
10254,13,Elena Gutierres,35617.53
10255,13,Sofia Vargas,34534.03
10256,13,Lucia Guzman,37702.57
10257,13,Hugo Torrez,33467.31
10258,13,Mateo Cabrera,16860.86
10259,13,Ana Quispe,46648.72
10260,13,Juan Pérez,39946.6
10261,14,Fernando Silva,30356.52
10262,14,Ana Quispe,21341.02
10263,14,Valeria Choque,28617.42
10264,14,Carlos Mamani,47700.57
10265,14,Valeria Choque,12220.95
10266,14,Mateo Cabrera,7550.53
10267,14,Ana Quispe,3091.38
10268,14,Gabriel Mendoza,26328.97
10269,14,Carlos Mamani,47585.71
10270,14,Elena Gutierres,38234.83
10271,14,Fernando Silva,48816.6
10272,14,Fernando Silva,14263.15
10273,14,Ana Quispe,47447.75
10274,14,Gabriel Mendoza,44604.85
10275,14,Luis Flores,26261.7
10276,14,Lucia Guzman,27009.86
10277,14,Gabriel Mendoza,7356.83
10278,14,Fernando Silva,11805.35
10279,14,Fernando Silva,33794.12
10280,14,Fernando Silva,43569.37
