Actualizado 2026-09-12 09:10,,,,,,
Nro,Identificacion,Nombres,Apellidos,NroCuenta,IdBanco,Saldo
50,2119004058,Jose Diego,Quispe,10106244,2,42984.35619
51,1035323215,ESCOBAR POZO DANIEL,Garcia Quispe,10000004,1,30389.73519
52,1035323215,ORTUÑO GUTIERREZ MANFRED RUDDY,Garcia Quispe,10000005,1,27536.27796
53,6623854058,Diego,Vargas,10088591,4,27159.11943
54,6623854058,Diego,Vargas,10088592,4,43188.93778
55,4196676412,Jorge Ana Carlos,Mamani,10106245,2,23263.41144
56,4196676412,Jorge Ana Carlos,Mamani,10106246,2,10819.35225
57,1920668003,Carlos,Claros Vargas,10097470,3,28231.33127
58,1920668003,Carlos,Claros Vargas,10097471,3,6609.06801
59,3449190865,Juan Luis Jose,Mendoza,10071007,6,48590.61968
60,3449190865,Juan Luis Jose,Mendoza,10071008,6,36021.5749
61,2569390890,Elena,Rodriguez,10106247,2,37087.05918
62,2569390890,Elena,Rodriguez,10106248,2,40232.3135
63,3857618461,Lucia Ana Sofia,Claros,10035662,10,29928.97842
64,3857618461,Lucia Ana Sofia,Claros,10035663,10,41441.04318
65,9809478104,Luis Luis,Flores,10008870,13,9311.83201
66,9809478104,Luis Luis,Flores,10008871,13,22854.77724
67,6457204207,Jorge Carlos Jose,Claros,10088593,4,40868.74063
68,6457204207,Jorge Carlos Jose,Claros,10088594,4,24152.07297
69,2529996472,Jose Carlos,Claros Perez,10106249,2,17377.58558
70,2529996472,Jose Carlos,Claros Perez,10106250,2,20222.59771
71,9007279624,Carlos Lucia Diego,Mendoza Garcia,10062141,7,37425.07663
72,9007279624,Carlos Lucia Diego,Mendoza Garcia,10062142,7,29862.94664
73,7310654096,Diego Lucia,Quispe,10035664,10,41249.60476
74,7310654096,Diego Lucia,Quispe,10035665,10,28505.19315
75,1845145763,Lucia,Flores Claros,10088595,4,14298.43689
76,1845145763,Lucia,Flores Claros,10088596,4,23565.77162
77,7951047959,Ana,Garcia,10079802,5,48718.76786
78,7951047959,Ana,Garcia,10079803,5,36373.99002
79,4007952880,Maria Ana,Perez Perez,10044451,9,34561.93288
80,4007952880,Maria Ana,Perez Perez,10044452,9,20424.51512
81,1545874730,Sofia Carlos,Rodriguez Mamani,10026758,11,18072.4562
82,1545874730,Sofia Carlos,Rodriguez Mamani,10026759,11,47081.52721
83,907656801,Maria Maria,Flores,10088597,4,43917.224
84,907656801,Maria Maria,Flores,10088598,4,16792.3592
85,4727307869,Jorge Jose Sofia,Mamani Perez,10115070,1,34289.24561
86,4727307869,Jorge Jose Sofia,Mamani Perez,10115071,1,46997.62
87,2027758723,Juan Elena,Garcia Vargas,10026760,11,49789.41519
88,2027758723,Juan Elena,Garcia Vargas,10026761,11,3629.14775
89,2882428262,BALDIVIEZO ACHACOLLO ADRIAN ANTHONY,Perez Vargas,10000006,1,30054.13635
90,2882428262,MENDIETA JIMENEZ SEBASTIAN ERICK,Perez Vargas,10000007,1,46736.28072
91,5421986116,Carlos Ricardo Jorge,Vargas Lopez,10071009,6,507.70422
92,5421986116,Carlos Ricardo Jorge,Vargas Lopez,10071010,6,38186.169
93,2709736957,Sofia Elena,Quispe,10035666,10,29012.73698
94,2709736957,Sofia Elena,Quispe,10035667,10,345.70223
95,6893232857,Maria Elena,Claros,10026762,11,9765.38877
96,6893232857,Maria Elena,Claros,10026763,11,15493.41044
97,9755024845,Jose Jorge,Vargas,10035668,10,2288.5649
98,9755024845,Jose Jorge,Vargas,10035669,10,42073.2996
99,60185370,Jose Jorge,Lopez Flores,10017772,12,22404.68847
100,60185370,Jose Jorge,Lopez Flores,10017773,12,6063.94072
101,498312132,Jorge,Rodriguez,10079804,5,41669.6419
102,498312132,Jorge,Rodriguez,10079805,5,20715.23635
103,2127366417,Ana,Vargas Claros,10079806,5,23807.48492
104,2127366417,Ana,Vargas Claros,10079807,5,29114.91504
105,9716900504,Lucia,Rodriguez,10017774,12,46598.0561
106,9716900504,Lucia,Rodriguez,10017775,12,19603.6844
107,2313579683,Ricardo Juan,Lopez Perez,10106251,2,30828.55741
108,2313579683,Ricardo Juan,Lopez Perez,10106252,2,32005.62543
109,905312029,Jose,Martinez,10026764,11,41388.15447
110,905312029,Jose,Martinez,10026765,11,30079.94871
111,4735380196,Jorge Ricardo Maria,Claros Mamani,10115072,1,29791.74318
112,4735380196,Jorge Ricardo Maria,Claros Mamani,10115073,1,46303.19794
113,5503629658,Jose,Quispe Garcia,10115074,1,42654.69841
114,5503629658,Jose,Quispe Garcia,10115075,1,27539.6471
115,2200045386,Lucia Jose,Lopez Vargas,10088599,4,19556.57858
116,2200045386,Lucia Jose,Lopez Vargas,10088600,4,26474.1152
117,5119949981,Carlos,Rodriguez,10106253,2,18052.3799
118,5119949981,Carlos,Rodriguez,10106254,2,12576.39905
119,1001637083,Sofia Carlos,Flores Vargas,10026766,11,13654.08616
120,1001637083,Sofia Carlos,Flores Vargas,10026767,11,45383.45768
121,4310493588,Lucia,Vargas Perez,10008872,13,14048.00796
122,4310493588,Lucia,Vargas Perez,10008873,13,737.8072
123,3922074514,Ana Jose Elena,Mendoza,10008874,13,24661.785
124,3922074514,Ana Jose Elena,Mendoza,10008875,13,25996.62181
125,3722204638,Luis Jose,Flores,10115076,1,19082.81563
126,3722204638,Luis Jose,Flores,10115077,1,48231.83252
127,6112252609,Luis Ricardo Elena,Claros,10106255,2,26290.80997
128,6112252609,Luis Ricardo Elena,Claros,10106256,2,32962.51685
129,1521557972,Carlos Jorge,Vargas,10106257,2,3408.58156
130,1521557972,Carlos Jorge,Vargas,10106258,2,12410.80772
131,8091810222,Jose Elena Lucia,Garcia,10115078,1,5276.05712
132,8091810222,Jose Elena Lucia,Garcia,10115079,1,12196.49062
133,3916986810,Luis Luis,Mamani Quispe,10053260,8,10392.8408
134,3916986810,Luis Luis,Mamani Quispe,10053261,8,16006.3798
135,2665177230,Luis Luis Sofia,Vargas,10088601,4,37634.85425
136,2665177230,Luis Luis Sofia,Vargas,10088602,4,40468.49082
137,5584386814,Ricardo,Rodriguez,10071011,6,25388.43868
138,5584386814,Ricardo,Rodriguez,10071012,6,30213.57969
139,666400390,Juan Carlos,Mamani Mamani,10079808,5,376.20308
140,666400390,Juan Carlos,Mamani Mamani,10079809,5,14459.79786
141,1761736211,Lucia,Vargas,10115080,1,27126.31347
142,1761736211,Lucia,Vargas,10115081,1,13951.4844
143,2767530627,Jorge Elena Juan,Rodriguez Quispe,10106259,2,43481.6646
144,2767530627,Jorge Elena Juan,Rodriguez Quispe,10106260,2,37426.45771
145,6746108974,Ricardo Maria Ricardo,Quispe Lopez,10106261,2,190.15111
146,6746108974,Ricardo Maria Ricardo,Quispe Lopez,10106262,2,31407.13191
147,7850963361,Ricardo Sofia,Claros,10035670,10,404.86809
148,7850963361,Ricardo Sofia,Claros,10035671,10,49274.32032
149,8268460937,Carlos Elena Diego,Claros,10044453,9,36468.57131
150,8268460937,Carlos Elena Diego,Claros,10044454,9,27680.84035
151,7912048899,Jose Luis Diego,Flores,10017776,12,7.60801
152,7912048899,Jose Luis Diego,Flores,10017777,12,25961.50293
153,6940771369,Elena Ana,Flores Vargas,10026768,11,10806.24128
154,6940771369,Elena Ana,Flores Vargas,10026769,11,43605.78394
155,8552475435,GARCIA COPA NELSON DANIEL,Quispe Lopez,10000008,1,310.86808
156,8552475435,APAZA ESPINOZA CRISTIAN,Quispe Lopez,10000009,1,14041.04054
157,8261191541,Luis Lucia,Garcia Perez,10062143,7,28715.46267
158,8261191541,Luis Lucia,Garcia Perez,10062144,7,310.35499
159,8676731631,Ana,Garcia Perez,10097472,3,42020.92146
160,8676731631,Ana,Garcia Perez,10097473,3,4770.60145
161,532316733,Ana,Choque,10071013,6,2668.02797
162,532316733,Ana,Choque,10071014,6,18215.15201
163,9402559558,Juan Jorge,Rodriguez Flores,10062145,7,9452.94877
164,9402559558,Juan Jorge,Rodriguez Flores,10062146,7,7610.43848
165,4329735054,Juan Luis,Garcia,10088603,4,18.78796
166,4329735054,Juan Luis,Garcia,10088604,4,30905.7598
167,4349500788,Lucia,Claros Mamani,10106263,2,-1000
168,4349500788,Lucia,Claros Mamani,10106264,2,-1
169,4495076305,Luis Ana,Mendoza,10008876,13,-1
170,4495076305,Luis Ana,Mendoza,10008877,13,-2
171,6077645706,Maria Diego Ricardo,Flores Mendoza,10097474,3,30481.54721
172,6077645706,Maria Diego Ricardo,Flores Mendoza,10097475,3,27662.02488
173,9718925224,Diego Jorge Lucia,Mamani,10053262,8,15987.24592
174,9718925224,Diego Jorge Lucia,Mamani,10053263,8,8051.76065
175,8404946598,Juan,Rodriguez Mamani,10053264,8,42432.64025
176,8404946598,Juan,Rodriguez Mamani,10053265,8,45208.30398
177,7526128466,DIAZ ZULETA ERICK JOEL,Quispe,10000010,2,31459.72804
178,7526128466,MENA MOLINA MARCELO,Quispe,10000011,2,45259.50897
179,802363449,Sofia,Perez,10062147,7,2322.65904
180,802363449,Sofia,Perez,10062148,7,19607.92443
181,2281033907,Lucia Jose,Lopez Perez,10008878,13,38499.13129
182,2281033907,Lucia Jose,Lopez Perez,10008879,13,18997.33113
183,2692637299,Sofia,Perez,10071015,6,46471.51519
184,2692637299,Sofia,Perez,10071016,6,41156.91093
185,6850719216,Ricardo,Mamani Flores,10035672,10,35286.83635
186,6850719216,Ricardo,Mamani Flores,10035673,10,22388.43084
187,2547541455,Luis,Mendoza Quispe,10079810,5,45837.828
188,2547541455,Luis,Mendoza Quispe,10079811,5,329.5188
189,6459765667,Jose,Flores,10088605,4,13246.72348
190,6459765667,Jose,Flores,10088606,4,13520.58921
191,9602314657,Ricardo Jorge,Quispe,10044455,9,43827.25
192,9602314657,Ricardo Jorge,Quispe,10044456,9,13485.75655
193,3225855387,Luis Ricardo Luis,Vargas Vargas,10106265,2,17612.28614
194,3225855387,Luis Ricardo Luis,Vargas Vargas,10106266,2,20942.33057
195,6364034661,Juan Carlos,Mamani,10088607,4,13402.39306
196,6364034661,Juan Carlos,Mamani,10088608,4,17363.91545
197,4919131468,Ricardo Sofia,Perez Mendoza,10062149,7,27105.08165
198,4919131468,Ricardo Sofia,Perez Mendoza,10062150,7,41042.87256
199,6523208684,Ana Carlos,Flores Mamani,10071017,6,39238.86538
200,6523208684,Ana Carlos,Flores Mamani,10071018,6,29861.1136
201,9110658862,Ana Luis Luis,Vargas,10008880,13,29683.91462
202,9110658862,Ana Luis Luis,Vargas,10008881,13,18455.99401
203,9456721592,Carlos Diego,Vargas,10106267,2,32095.31318
204,9456721592,Carlos Diego,Vargas,10106268,2,9042.36718
205,6592730146,VARGAS VARGAS HERIBERTO,Flores,10000012,2,5060.18207
206,6592730146,ALMAQUIO MELGAR DENIS HAMILTON,Flores,10000013,2,26944.24006
207,6561104786,Elena,Lopez,10044457,9,3184.65675
208,6561104786,Elena,Lopez,10044458,9,29127.05061
209,8293856848,Jorge,Vargas,10071019,6,6.00704
210,8293856848,Jorge,Vargas,10071020,6,13944.963
211,6003982079,Carlos,Vargas Claros,10017778,12,38303.02229
212,6003982079,Carlos,Vargas Claros,10017779,12,31146.166
213,5156365960,COCA ALVAREZ MAURICIO GERSON,Mendoza Vargas,10000014,2,5093.58385
214,5156365960,FERRUFINO ORELLANA FRANCO NAHUEL,Mendoza Vargas,10000015,2,4596.70238
215,7447290295,Elena Juan,Flores,10008882,13,22064.77235
216,7447290295,Elena Juan,Flores,10008883,13,15680.22317
217,2585370104,Jose,Quispe,10062151,7,18038.52135
218,2585370104,Jose,Quispe,10062152,7,15776.2923
219,4951191772,Jose Luis Carlos,Garcia,10088609,4,2632.44739
220,4951191772,Jose Luis Carlos,Garcia,10088610,4,34689.20319
221,7315206314,Maria Ricardo,Vargas Quispe,10088611,4,38884.48963
222,7315206314,Maria Ricardo,Vargas Quispe,10088612,4,21.31551
223,5092952717,Ricardo,Flores,10008884,13,7492.27442
224,5092952717,Ricardo,Flores,10008885,13,34188.82111
225,1528424898,Elena,Martinez,10062153,7,13121.91828
226,1528424898,Elena,Martinez,10062154,7,42156.16283
227,319820599,Carlos,Quispe Martinez,10097476,3,19957.84656
228,319820599,Carlos,Quispe Martinez,10097477,3,9573.57551
229,6463610434,Ana Carlos Juan,Garcia,10062155,7,21154.2387
230,6463610434,Ana Carlos Juan,Garcia,10062156,7,5437.94774
231,1333405387,Elena,Perez,10071021,6,37895.67952
232,1333405387,Elena,Perez,10071022,6,5192.87499
233,5205538174,Luis Jose,Vargas,10088613,4,63.6665
234,5205538174,Luis Jose,Vargas,10088614,4,25494.91827
235,2160808882,Diego,Rodriguez Quispe,10106269,2,3911.33983
236,2160808882,Diego,Rodriguez Quispe,10106270,2,39540.48157
237,2635734686,Lucia Juan,Rodriguez Lopez,10106271,2,24190.9539
238,2635734686,Lucia Juan,Rodriguez Lopez,10106272,2,46304.0024
239,5625230463,Elena,Quispe,10026770,11,21297.07854
240,5625230463,Elena,Quispe,10026771,11,24466.80657
241,5497834014,Juan Ana Juan,Perez Claros,10026772,11,38104.29711
242,5497834014,Juan Ana Juan,Perez Claros,10026773,11,3970.72419
243,5443631479,Ana,Mendoza,10026774,11,1318.81696
244,5443631479,Ana,Mendoza,10026775,11,42027.52367
245,3823719033,Diego Jorge,Rodriguez,10088615,4,21047.20994
246,3823719033,Diego Jorge,Rodriguez,10088616,4,13107.54826
247,4420619491,Elena Lucia Luis,Perez Rodriguez,10008886,13,48256.69692
248,4420619491,Elena Lucia Luis,Perez Rodriguez,10008887,13,22748.88222
249,9745008432,Juan Ana,Mendoza Rodriguez,10035674,10,2246.61563
250,9745008432,Juan Ana,Mendoza Rodriguez,10035675,10,36799.37843
251,4934346822,Jorge Jorge,Quispe Mamani,10079812,5,13.56222
252,4934346822,Jorge Jorge,Quispe Mamani,10079813,5,47173.49167
253,9024590111,Lucia Juan,Vargas,10071023,6,7620.77537
254,9024590111,Lucia Juan,Vargas,10071024,6,38671.1766
255,1755126723,Ricardo Elena Sofia,Martinez Martinez,10097478,3,35601.84686
256,1755126723,Ricardo Elena Sofia,Martinez Martinez,10097479,3,11795.66757
257,6199846145,Jorge,Mendoza,10017780,12,43680.58504
258,6199846145,Jorge,Mendoza,10017781,12,2397.9431
259,3506005957,Jorge Elena Ricardo,Lopez,10053266,8,40575.86832
260,3506005957,Jorge Elena Ricardo,Lopez,10053267,8,38840.72089
261,4084978479,Sofia Luis Lucia,Vargas Garcia,10115082,1,3136.38325
262,4084978479,Sofia Luis Lucia,Vargas Garcia,10115083,1,2451.89122
263,8286753520,Juan Jorge,,10000016,2,1735.31254
264,8286753520,,Mendoza Mamani,10000017,2,13996.27759
265,6820440021,Luis Juan,Rodriguez Vargas,10053268,8,19425.04457
266,6820440021,Luis Juan,Rodriguez Vargas,10053269,8,3922.98783
267,109988465,Jose Jorge Elena,Flores Garcia,10035676,10,48156.60619
268,109988465,Jose Jorge Elena,Flores Garcia,10035677,10,46228.20663
269,6514757072,"Sofia Juan con"",""",Claros Vargas,10000018,2,456.01139
270,6514757072,,,10000019,3,47163.28146
271,3039109135,Sofia Luis,Vargas Quispe,10008888,13,9132.60239
272,3039109135,Sofia Luis,Vargas Quispe,10008889,13,201.67621
273,2477971867,Luis Luis Elena,Quispe Garcia,10000020,3,19672.3423
274,2477971867,Luis Luis Elena,Quispe Garcia,10000021,3,41340.06185
275,9901047021,Lucia,Vargas,10106273,2,7524.40624
276,9901047021,Lucia,Vargas,10106274,2,4266.86667
277,4442024936,Sofia Ricardo,Vargas,10071025,6,20034.92318
278,4442024936,Sofia Ricardo,Vargas,10071026,6,19549.47045
279,1895449816,Ana Jose,Perez,10097480,3,31566.50913
280,1895449816,Ana Jose,Perez,10097481,3,47608.50719
281,7585813178,Sofia,Mamani Mendoza,10062157,7,22085.11676
282,7585813178,Sofia,Mamani Mendoza,10062158,7,1578.01708
283,8592313214,Carlos,Mendoza,10044459,9,38141.5097
284,8592313214,Carlos,Mendoza,10044460,9,39671.5878
285,9487967079,Carlos,Quispe Claros,10088617,4,46687.86348
286,9487967079,Carlos,Quispe Claros,10088618,4,10278.12916
287,7475927362,Jose Jorge Carlos,Flores,10053270,8,18555.16521
288,7475927362,Jose Jorge Carlos,Flores,10053271,8,31046.76101
289,2391098582,Ana Lucia,Garcia,10115084,1,30230.09471
290,2391098582,Ana Lucia,Garcia,10115085,1,9789.09135
291,4676848048,Jose,Perez Flores,10071027,6,4960.12347
292,4676848048,Jose,Perez Flores,10071028,6,45926.00903
293,8374473110,Ana Carlos,Claros Garcia,10079814,5,30969.82456
294,8374473110,Ana Carlos,Claros Garcia,10079815,5,23174.66774
295,8912862417,Lucia Ana Luis,Claros Vargas,10053272,8,278.57516
296,8912862417,Lucia Ana Luis,Claros Vargas,10053273,8,46775.57644
297,6632518964,Diego Ricardo,Mendoza,10097482,3,23595.00691
298,6632518964,Diego Ricardo,Mendoza,10097483,3,42973.06622
299,8489458832,Ricardo Luis Maria,Mamani Garcia,10035678,10,17041.44019
300,8489458832,Ricardo Luis Maria,Mamani Garcia,10035679,10,16130.08401
301,4654661933,Sofia,Mamani,10106275,2,15150.41265
302,4654661933,Sofia,Mamani,10106276,2,24434.25374
303,4651093843,Sofia Jorge,Vargas Garcia,10115086,1,2113.0321
304,4651093843,Sofia Jorge,Vargas Garcia,10115087,1,750.87614
305,6908795724,Jorge,Quispe Vargas,10026776,11,23692.20224
306,6908795724,Jorge,Quispe Vargas,10026777,11,26229.22592
307,7714039190,Maria,Mendoza Rodriguez,10017782,12,32645.46993
308,7714039190,Maria,Mendoza Rodriguez,10017783,12,32769.90073
309,4861044454,Ricardo Sofia,Flores,10115088,1,7710.47004
310,4861044454,Ricardo Sofia,Flores,10115089,1,11926.82528
311,1998048736,Sofia,Vargas Quispe,10062159,7,20526.75135
312,1998048736,Sofia,Vargas Quispe,10062160,7,12124.3
313,5117486523,Elena Elena,Mendoza,10017784,12,282.7021
314,5117486523,Elena Elena,Mendoza,10017785,12,29860.20275
315,1222192838,Lucia Maria,Vargas,10026778,11,8182.72251
316,1222192838,Lucia Maria,Vargas,10026779,11,47226.38549
317,4677932725,Diego Diego Carlos,Vargas Rodriguez,10053274,8,23556.34834
318,4677932725,Diego Diego Carlos,Vargas Rodriguez,10053275,8,4423.70897
319,6228697059,Maria Jose Elena,Perez,10008890,13,2636.53031
320,6228697059,Maria Jose Elena,Perez,10008891,13,25831.58884
321,6279042564,Ana,Mendoza Mamani,10044461,9,45360.315
322,6279042564,Ana,Mendoza Mamani,10044462,9,28202.54542
323,1616382575,Jose Lucia,Garcia,10000022,4,20192.50362
324,1616382575,Jose Lucia,Garcia,10000023,4,3592.47154
325,2895678622,Jorge Jose,Perez,10071029,6,39654.02585
326,2895678622,Jorge Jose,Perez,10071030,6,37224.41174
327,6735698241,Luis Jorge,Lopez Lopez,10008892,13,6977.53554
328,6735698241,Luis Jorge,Lopez Lopez,10008893,13,19951.7523
329,710895758,Jorge,Flores Rodriguez,10062161,7,42602.07221
330,710895758,Jorge,Flores Rodriguez,10062162,7,43258.76105
331,3298312077,Juan Ana,Mendoza,10115090,1,9174.54977
332,3298312077,Juan Ana,Mendoza,10115091,1,38125.02797
333,587726743,Sofia Ricardo Maria,Lopez,10017786,12,14483.40038
334,587726743,Sofia Ricardo Maria,Lopez,10017787,12,38688.78142
335,5783231366,Luis,Rodriguez Flores,10106277,2,22483.04906
336,5783231366,Luis,Rodriguez Flores,10106278,2,4758.14227
337,5886776381,Ricardo Ana Ricardo,Mendoza Quispe,10026780,11,43.68674
338,5886776381,Ricardo Ana Ricardo,Mendoza Quispe,10026781,11,46875.85446
339,8892926626,Diego Jose Juan,Garcia Lopez,10097484,3,35905.07034
340,8892926626,Diego Jose Juan,Garcia Lopez,10097485,3,39466.28428
341,9503506319,Luis Jose Jorge,Lopez Flores,10088619,4,10768.62876
342,9503506319,Luis Jose Jorge,Lopez Flores,10088620,4,13122.61999
343,2114408465,Luis Ricardo Ricardo,Quispe,10062163,7,37066.24003
344,2114408465,Luis Ricardo Ricardo,Quispe,10062164,7,36118.87
345,2361813478,Juan Ricardo,Garcia Mamani,10026782,11,22655.26681
346,2361813478,Juan Ricardo,Garcia Mamani,10026783,11,18342.67168
347,3102173654,Juan Maria Elena,Flores,10026784,11,22176.69995
348,3102173654,Juan Maria Elena,Flores,10026785,11,14247.51219
349,9599627867,Carlos Jose Elena,Flores,10115092,1,39834.54727
350,9599627867,Carlos Jose Elena,Flores,10115093,1,15926.92014
351,4530207337,Elena Luis Juan,Vargas,10071031,6,5015.74006
352,4530207337,Elena Luis Juan,Vargas,10071032,6,22236.94609
353,4684851230,Luis Ana,Mendoza Perez,10035680,10,23169.72625
354,4684851230,Luis Ana,Mendoza Perez,10035681,10,9870.30871
355,2335740360,Ana Juan,Quispe Quispe,10079816,5,25040.27376
356,2335740360,Ana Juan,Quispe Quispe,10079817,5,5743.40604
357,5817247328,Sofia Jorge Lucia,Flores,10106279,2,18946.48156
358,5817247328,Sofia Jorge Lucia,Flores,10106280,2,15806.9938
359,655433928,Ana Jose,Perez,10053276,8,10841.22427
360,655433928,Ana Jose,Perez,10053277,8,34591.93254
361,2628115602,Ana Maria Elena,Perez,10008894,13,10840.93711
362,2628115602,Ana Maria Elena,Perez,10008895,13,35865.61564
363,5447343850,Juan Jose,Quispe,10062165,7,17450.52007
364,5447343850,Juan Jose,Quispe,10062166,7,6444.16752
365,9316651287,Juan Lucia Jose,Mendoza,10026786,11,40381.93686
366,9316651287,Juan Lucia Jose,Mendoza,10026787,11,19726.64153
367,6597323594,Lucia Sofia Juan,Mendoza,10106281,2,5456.74732
368,6597323594,Lucia Sofia Juan,Mendoza,10106282,2,38280.37591
369,7612805910,Jose,Quispe,10106283,2,10392.68254
370,7612805910,Jose,Quispe,10106284,2,9.94106
371,9059046819,Jose,Vargas Perez,10017788,12,20785.43782
372,9059046819,Jose,Vargas Perez,10017789,12,17392.29434
373,3204180818,Juan,Vargas,10106285,2,15084.80026
374,3204180818,Juan,Vargas,10106286,2,12097.94201
375,9296799584,Carlos,Garcia Quispe,10106287,2,22312.94689
376,9296799584,Carlos,Garcia Quispe,10106288,2,27512.17012
377,7566377977,Sofia Maria,Quispe,10053278,8,52.52003
378,7566377977,Sofia Maria,Quispe,10053279,8,47304.00051
379,191013984,Elena Sofia Carlos,Vargas,10026788,11,429.243
380,191013984,Elena Sofia Carlos,Vargas,10026789,11,22.6515
381,9543486292,Sofia,Lopez,10044463,9,44804.1926
382,9543486292,Sofia,Lopez,10044464,9,28.43956
383,3824109137,Ana,Quispe,10097486,3,2340.4259
384,3824109137,Ana,Quispe,10097487,3,40694.61016
385,651783407,Maria Lucia,Vargas Lopez,10106289,2,4795.08752
386,651783407,Maria Lucia,Vargas Lopez,10106290,2,42027.85328
387,7554471518,Elena Maria Diego,Mamani Perez,10044465,9,17941.39889
388,7554471518,Elena Maria Diego,Mamani Perez,10044466,9,22044.66797
389,2967574400,Jose,Vargas Vargas,10062167,7,47.89603
390,2967574400,Jose,Vargas Vargas,10062168,7,37423.51818
391,2247056887,Jorge Jose Sofia,Quispe Vargas,10062169,7,9718.86766
392,2247056887,Jorge Jose Sofia,Quispe Vargas,10062170,7,15207.02627
393,9102480192,Jose Ana Ricardo,Lopez Quispe,10026790,11,8724.96284
394,9102480192,Jose Ana Ricardo,Lopez Quispe,10026791,11,44187.50575
395,636735479,Luis,Rodriguez,10115094,1,46916.32742
396,636735479,Luis,Rodriguez,10115095,1,20064.50235
397,4799612601,Elena,Rodriguez Claros,10000024,4,
398,4799612601,Elena,Rodriguez Claros,10000025,4,17266.02121
399,4520082807,Ricardo Jorge,Perez,10079818,5,24995.27849
400,4520082807,Ricardo Jorge,Perez,10079819,5,1484.08808
401,9082044814,Diego,Claros Mamani,10008896,13,6658.53737
402,9082044814,Diego,Claros Mamani,10008897,13,13549.134
403,7872332163,Ricardo Maria Carlos,Garcia Claros,10062171,7,8178.199
404,7872332163,Ricardo Maria Carlos,Garcia Claros,10062172,7,1066.00905
405,1729435944,Ricardo,Vargas Flores,10035682,10,45560.6782
406,1729435944,Ricardo,Vargas Flores,10035683,10,13737.3637
407,6375806019,ALEGRE INOCENTE OSCAR DIEGO,Flores Lopez,,4,17266.02121
408,6375806019,BALDERRAMA ALBA DANIEL HENRY,,10000027,4,17266.02121
409,1239142060,Jose Juan Juan,Perez,10026792,11,18295.07882
